,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,94.7734,9.7352,7.5056,0.5391,0.7344,0.6893
0,1,95.2993,9.7621,7.4948,0.5365,0.733,0.6927
0,2,96.1571,9.806,7.5408,0.5323,0.7302,0.6891
0,3,95.5331,9.7741,7.4967,0.5354,0.7319,0.6913
0,4,95.2072,9.7574,7.4971,0.537,0.7329,0.6914
1,0,95.1275,9.7533,7.4903,0.5373,0.7331,0.6918
1,1,97.5974,9.8791,7.5818,0.5253,0.7257,0.6874
1,2,94.1701,9.7041,7.4282,0.542,0.7364,0.696
1,3,95.9247,9.7941,7.5238,0.5335,0.7306,0.6876
1,4,96.1764,9.807,7.5667,0.5322,0.7296,0.6882
2,0,95.1862,9.7563,7.4996,0.5371,0.7331,0.691
2,1,95.967,9.7963,7.5237,0.5333,0.7307,0.6906
2,2,95.5437,9.7746,7.5051,0.5353,0.7318,0.6883
2,3,94.3074,9.7112,7.4365,0.5413,0.7364,0.6967
2,4,96.1414,9.8052,7.5525,0.5324,0.7301,0.6889
