,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,98.4392,9.9217,6.8937,0.6228,0.792,0.7334
0,1,105.8221,10.287,6.8896,0.5945,0.7756,0.7139
0,2,109.1934,10.4496,7.0971,0.5815,0.7693,0.7173
0,3,98.5356,9.9265,6.8109,0.6224,0.7911,0.7279
0,4,107.0578,10.3469,6.7569,0.5897,0.7717,0.7469
1,0,113.7339,10.6646,7.3014,0.5641,0.7524,0.6645
1,1,110.1113,10.4934,6.9336,0.578,0.766,0.7199
1,2,103.6524,10.181,6.9057,0.6028,0.7847,0.7373
1,3,116.5308,10.7949,7.3331,0.5534,0.7533,0.7089
1,4,108.245,10.4041,6.9924,0.5852,0.7697,0.7309
2,0,116.6336,10.7997,7.3379,0.553,0.7459,0.6798
2,1,104.8528,10.2398,6.8601,0.5982,0.7774,0.7406
2,2,119.2863,10.9218,7.3223,0.5429,0.7565,0.7008
2,3,100.0465,10.0023,6.8706,0.6166,0.789,0.7325
2,4,90.6957,9.5234,6.5401,0.6524,0.8097,0.7529
