,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,71.7212,8.4688,5.6098,0.5653,0.754,0.6774
0,1,78.6178,8.8667,5.8988,0.5235,0.7263,0.6469
0,2,73.8243,8.5921,5.6663,0.5526,0.7436,0.6751
0,3,72.7666,8.5303,5.6121,0.559,0.749,0.6788
0,4,81.63,9.0349,5.9419,0.5053,0.7114,0.6442
1,0,75.9331,8.714,5.7782,0.5398,0.7395,0.6593
1,1,72.002,8.4854,5.5538,0.5636,0.751,0.6924
1,2,77.3669,8.7958,5.7505,0.5311,0.7303,0.6655
1,3,73.568,8.5772,5.6677,0.5541,0.7468,0.6635
1,4,76.758,8.7612,5.7415,0.5348,0.7325,0.6767
2,0,78.9636,8.8861,5.8178,0.5214,0.7274,0.6599
2,1,75.1463,8.6687,5.8247,0.5446,0.7383,0.6617
2,2,77.2184,8.7874,5.7465,0.532,0.732,0.6575
2,3,75.5272,8.6906,5.7294,0.5423,0.7381,0.6592
2,4,72.9477,8.5409,5.6452,0.5579,0.7509,0.6507
