,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,89.5403,9.4626,6.2566,0.5012,0.7111,0.6496
0,1,89.8311,9.4779,6.2442,0.4996,0.7104,0.6505
0,2,84.3926,9.1865,6.0529,0.5299,0.7287,0.6807
0,3,81.8194,9.0454,5.9456,0.5442,0.74,0.676
0,4,86.2595,9.2876,6.2129,0.5195,0.7251,0.6614
1,0,85.3274,9.2373,6.1271,0.5247,0.7263,0.6636
1,1,84.5218,9.1936,6.1239,0.5292,0.7275,0.6737
1,2,88.8479,9.4259,6.1567,0.5051,0.7133,0.6663
1,3,81.5691,9.0316,6.0384,0.5456,0.7401,0.6761
1,4,84.9787,9.2184,6.088,0.5266,0.7284,0.672
2,0,83.2486,9.1241,6.0491,0.5363,0.7359,0.6765
2,1,84.3305,9.1832,6.0833,0.5303,0.7283,0.6696
2,2,91.3657,9.5585,6.2966,0.4911,0.7106,0.6447
2,3,95.024,9.748,6.4617,0.4707,0.687,0.634
2,4,88.9092,9.4292,6.2975,0.5048,0.7112,0.6531
