,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,69.2645,8.3225,5.6205,0.5494,0.7471,0.6824
0,1,65.1808,8.0735,5.4714,0.576,0.763,0.6921
0,2,68.6533,8.2857,5.56,0.5534,0.7494,0.685
0,3,66.7762,8.1717,5.5678,0.5656,0.7532,0.6805
0,4,67.4663,8.2138,5.5903,0.5611,0.7523,0.6836
1,0,67.9386,8.2425,5.6009,0.558,0.7523,0.6788
1,1,68.8199,8.2958,5.6527,0.5523,0.7485,0.6815
1,2,68.8811,8.2995,5.6409,0.5519,0.7463,0.6806
1,3,68.9646,8.3045,5.574,0.5513,0.7542,0.6811
1,4,69.2845,8.3237,5.5484,0.5493,0.7475,0.6829
2,0,69.8922,8.3602,5.6319,0.5453,0.7415,0.6777
2,1,64.9713,8.0605,5.4711,0.5773,0.7635,0.6896
2,2,68.4948,8.2762,5.5859,0.5544,0.7458,0.6874
2,3,65.9644,8.1219,5.5538,0.5709,0.7596,0.6835
2,4,70.4318,8.3924,5.635,0.5418,0.7431,0.6824
