,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,86.939,9.3241,6.3857,0.4417,0.6713,0.5902
0,1,87.936,9.3774,6.3225,0.4353,0.6623,0.603
0,2,84.0587,9.1684,6.1644,0.4602,0.6845,0.6159
0,3,89.8578,9.4793,6.3376,0.4229,0.6638,0.5885
0,4,80.3644,8.9646,6.0157,0.4839,0.6997,0.6283
1,0,83.4392,9.1345,6.1493,0.4642,0.689,0.6101
1,1,83.0112,9.111,6.0845,0.4669,0.6945,0.617
1,2,90.654,9.5212,6.3674,0.4178,0.6577,0.5845
1,3,91.9022,9.5866,6.377,0.4098,0.6491,0.5779
1,4,87.7689,9.3685,6.2268,0.4364,0.667,0.6005
2,0,83.2801,9.1258,6.1673,0.4652,0.6859,0.5865
2,1,81.8963,9.0497,6.0065,0.4741,0.6966,0.6374
2,2,82.4818,9.0819,6.1153,0.4703,0.6908,0.6178
2,3,86.9084,9.3225,6.2458,0.4419,0.6694,0.5919
2,4,82.6751,9.0926,6.1284,0.4691,0.688,0.6074
