,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,108.6462,10.4234,8.0159,0.4716,0.6895,0.6505
0,1,105.8187,10.2868,7.9015,0.4853,0.6994,0.6588
0,2,109.3148,10.4554,8.0572,0.4683,0.6869,0.6416
0,3,108.5309,10.4178,8.0063,0.4722,0.6928,0.6493
0,4,110.2228,10.4987,8.0878,0.4639,0.6843,0.6412
1,0,106.1301,10.3019,7.9354,0.4838,0.6985,0.6547
1,1,107.5463,10.3705,7.976,0.4769,0.6909,0.6497
1,2,110.0264,10.4893,8.0559,0.4649,0.6872,0.642
1,3,109.3427,10.4567,8.0494,0.4682,0.6847,0.6392
1,4,115.2432,10.7351,8.262,0.4395,0.6663,0.6203
2,0,108.056,10.395,7.9979,0.4745,0.6893,0.6444
2,1,108.8146,10.4314,8.0189,0.4708,0.6864,0.6467
2,2,108.3119,10.4073,8.068,0.4732,0.6902,0.6446
2,3,108.1849,10.4012,7.9994,0.4738,0.6907,0.6487
2,4,108.9631,10.4385,8.0569,0.47,0.698,0.6507
