,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,121.0492,11.0022,7.1275,0.5361,0.7513,0.7172
0,1,138.8139,11.7819,7.7982,0.468,0.7068,0.646
0,2,121.9471,11.043,7.3919,0.5327,0.7327,0.6917
0,3,118.2526,10.8744,7.1649,0.5468,0.7496,0.6968
0,4,124.6985,11.1669,7.4041,0.5221,0.7316,0.691
1,0,124.9308,11.1772,7.6612,0.5212,0.7304,0.6672
1,1,116.9537,10.8145,7.2859,0.5518,0.7459,0.6893
1,2,115.7052,10.7566,7.1396,0.5566,0.7605,0.7111
1,3,115.6442,10.7538,7.1563,0.5568,0.7539,0.7096
1,4,116.7762,10.8063,7.2979,0.5525,0.7452,0.7059
2,0,127.1164,11.2746,7.447,0.5129,0.7268,0.6723
2,1,115.5733,10.7505,7.1838,0.5571,0.7664,0.6978
2,2,129.8134,11.3936,7.7965,0.5025,0.7263,0.662
2,3,122.9402,11.0878,7.4529,0.5289,0.73,0.6802
2,4,112.6793,10.6151,7.2057,0.5682,0.7602,0.6954
