,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,64.7214,8.045,5.2424,0.6078,0.7816,0.7161
0,1,60.0199,7.7473,4.9518,0.6363,0.8012,0.7405
0,2,60.5169,7.7793,5.0097,0.6332,0.7977,0.7273
0,3,61.5589,7.8459,5.1941,0.6269,0.7923,0.7165
0,4,63.7624,7.9851,5.1132,0.6136,0.7859,0.7358
1,0,61.1636,7.8207,5.1016,0.6293,0.7939,0.7247
1,1,62.3138,7.8939,5.1014,0.6224,0.7896,0.7244
1,2,62.5975,7.9119,5.0695,0.6206,0.7903,0.7312
1,3,64.1381,8.0086,5.2263,0.6113,0.7837,0.7206
1,4,60.8137,7.7983,4.992,0.6314,0.7955,0.7423
2,0,60.2371,7.7613,4.9667,0.6349,0.7978,0.7305
2,1,61.4328,7.8379,5.0164,0.6277,0.7941,0.7308
2,2,60.1779,7.7574,4.9826,0.6353,0.7985,0.7346
2,3,64.1427,8.0089,5.1501,0.6113,0.7834,0.724
2,4,62.985,7.9363,5.1418,0.6183,0.7867,0.7222
