,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,68.6201,8.2837,5.3407,0.6178,0.788,0.7313
0,1,67.7738,8.2325,5.3127,0.6225,0.7899,0.7287
0,2,68.9717,8.3049,5.3345,0.6158,0.7861,0.7372
0,3,68.1085,8.2528,5.2832,0.6206,0.7894,0.7394
0,4,70.8536,8.4175,5.3244,0.6053,0.7799,0.7391
1,0,71.994,8.4849,5.4517,0.599,0.7756,0.7211
1,1,65.4676,8.0912,5.2023,0.6353,0.7981,0.75
1,2,70.2735,8.3829,5.3311,0.6086,0.782,0.7362
1,3,68.5721,8.2808,5.318,0.618,0.7896,0.7369
1,4,69.5917,8.3422,5.4291,0.6124,0.7842,0.7288
2,0,68.6327,8.2845,5.3647,0.6177,0.7866,0.7323
2,1,68.1196,8.2535,5.2853,0.6206,0.7885,0.7379
2,2,70.3443,8.3871,5.4625,0.6082,0.7806,0.7176
2,3,67.0824,8.1904,5.2369,0.6263,0.792,0.7468
2,4,68.8792,8.2993,5.3987,0.6163,0.7896,0.7271
