,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,63.2501,7.953,5.2052,0.5885,0.7742,0.7189
0,1,62.3661,7.8972,5.2472,0.5943,0.7719,0.6996
0,2,64.0135,8.0008,5.2503,0.5835,0.7645,0.7019
0,3,65.4714,8.0914,5.2157,0.5741,0.7645,0.7104
0,4,62.1429,7.8831,5.2003,0.5957,0.7729,0.7041
1,0,62.5189,7.9069,5.1401,0.5933,0.7721,0.7064
1,1,63.5349,7.9709,5.2027,0.5867,0.7674,0.7053
1,2,59.7449,7.7295,5.173,0.6113,0.7829,0.7125
1,3,60.6426,7.7873,5.1051,0.6055,0.7794,0.7153
1,4,63.4352,7.9646,5.1992,0.5873,0.7677,0.7134
2,0,61.6493,7.8517,5.1677,0.5989,0.7745,0.7118
2,1,59.2959,7.7004,4.9871,0.6142,0.7871,0.7299
2,2,63.4012,7.9625,5.2594,0.5875,0.7671,0.6995
2,3,64.7854,8.0489,5.2209,0.5785,0.7627,0.7146
2,4,63.5707,7.9731,5.1145,0.5864,0.7689,0.7081
