,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,62.6971,7.9181,5.3873,0.5974,0.7741,0.6928
0,1,60.1269,7.7542,5.237,0.6139,0.7841,0.7112
0,2,59.8262,7.7347,5.1585,0.6158,0.7865,0.7163
0,3,61.687,7.8541,5.3058,0.6039,0.7783,0.7023
0,4,58.9734,7.6794,5.1585,0.6213,0.7899,0.7051
1,0,63.0828,7.9425,5.3669,0.5949,0.7734,0.6984
1,1,55.7447,7.4662,5.0346,0.642,0.8015,0.7182
1,2,62.8081,7.9252,5.3701,0.5967,0.7734,0.6982
1,3,61.5424,7.8449,5.3314,0.6048,0.7793,0.7011
1,4,61.3513,7.8327,5.2545,0.606,0.7817,0.7107
2,0,63.372,7.9607,5.359,0.593,0.7737,0.7025
2,1,58.0179,7.6169,5.0929,0.6274,0.7925,0.7171
2,2,59.7395,7.7291,5.1537,0.6164,0.7862,0.7092
2,3,63.4797,7.9674,5.3735,0.5923,0.7704,0.6982
2,4,59.3502,7.7039,5.1839,0.6189,0.7879,0.7072
