,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,93.631,9.6763,7.4706,0.5446,0.7383,0.697
0,1,95.1851,9.7563,7.4804,0.5371,0.7329,0.6947
0,2,94.568,9.7246,7.4622,0.5401,0.7364,0.6937
0,3,95.0667,9.7502,7.4892,0.5376,0.7342,0.6934
0,4,94.7644,9.7347,7.5075,0.5391,0.7352,0.6945
1,0,94.6005,9.7263,7.4616,0.5399,0.7352,0.6961
1,1,93.3129,9.6599,7.4306,0.5462,0.7399,0.6977
1,2,94.9907,9.7463,7.4792,0.538,0.7338,0.6954
1,3,95.1358,9.7538,7.4937,0.5373,0.7336,0.694
1,4,94.8452,9.7389,7.461,0.5387,0.7348,0.6931
2,0,94.9985,9.7467,7.491,0.538,0.7336,0.6926
2,1,95.1862,9.7563,7.4702,0.5371,0.7339,0.6923
2,2,93.8987,9.6901,7.4326,0.5433,0.7375,0.6971
2,3,94.7044,9.7316,7.4746,0.5394,0.735,0.6938
2,4,93.6985,9.6798,7.4431,0.5443,0.7389,0.7008
