,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,96.347,9.8157,6.2491,0.6308,0.7977,0.7768
0,1,93.3199,9.6602,6.4907,0.6424,0.8035,0.7791
0,2,92.5365,9.6196,6.2517,0.6454,0.8046,0.7714
0,3,86.7078,9.3117,6.1249,0.6677,0.8191,0.788
0,4,94.3319,9.7125,6.3956,0.6385,0.8008,0.7668
1,0,106.6064,10.325,6.8675,0.5915,0.7741,0.7378
1,1,101.831,10.0911,6.6927,0.6098,0.7869,0.7433
1,2,88.0482,9.3834,6.1155,0.6626,0.8144,0.7903
1,3,90.775,9.5276,6.2351,0.6521,0.8082,0.7843
1,4,89.0814,9.4383,6.0694,0.6586,0.8123,0.802
2,0,96.9721,9.8474,6.5542,0.6284,0.7975,0.7724
2,1,90.5897,9.5179,6.2511,0.6528,0.809,0.7805
2,2,97.1059,9.8542,6.4179,0.6279,0.7945,0.7797
2,3,101.3381,10.0667,6.5149,0.6116,0.7826,0.7769
2,4,94.2287,9.7071,6.4111,0.6389,0.7998,0.7524
