,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,79.6253,8.9233,5.9255,0.5174,0.7287,0.6495
0,1,73.6536,8.5822,5.6486,0.5536,0.7455,0.6537
0,2,76.9933,8.7746,5.6787,0.5334,0.7329,0.6675
0,3,75.462,8.6869,5.7053,0.5427,0.7415,0.6596
0,4,77.2212,8.7876,5.7064,0.532,0.7349,0.6767
1,0,79.3753,8.9093,5.8046,0.519,0.7247,0.6545
1,1,76.4785,8.7452,5.7258,0.5365,0.7341,0.6699
1,2,90.3509,9.5053,6.2079,0.4524,0.6749,0.6083
1,3,81.968,9.0536,5.8725,0.5032,0.713,0.6467
1,4,80.7056,8.9836,5.9285,0.5109,0.7236,0.6399
2,0,79.6431,8.9243,5.7918,0.5173,0.7231,0.6552
2,1,79.8501,8.9359,5.8058,0.5161,0.7223,0.6528
2,2,78.8965,8.8824,5.8514,0.5219,0.7247,0.6586
2,3,76.4682,8.7446,5.7416,0.5366,0.7363,0.6553
2,4,75.4051,8.6836,5.6474,0.543,0.7408,0.675
