,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,81.5361,9.0297,5.8932,0.5458,0.744,0.6794
0,1,80.5191,8.9732,5.9127,0.5515,0.7447,0.6805
0,2,77.0283,8.7766,5.8238,0.5709,0.7573,0.6742
0,3,81.5727,9.0318,5.8657,0.5456,0.7426,0.6827
0,4,80.3305,8.9627,5.8133,0.5525,0.7446,0.6873
1,0,80.9953,8.9997,5.8204,0.5488,0.7435,0.683
1,1,85.3915,9.2408,6.072,0.5243,0.7278,0.6563
1,2,78.7281,8.8729,5.802,0.5615,0.7507,0.6942
1,3,80.0037,8.9445,5.836,0.5544,0.7483,0.6885
1,4,78.9233,8.8839,5.87,0.5604,0.7502,0.6804
2,0,81.0643,9.0036,5.912,0.5485,0.746,0.6851
2,1,81.7617,9.0422,5.8754,0.5446,0.7412,0.6818
2,2,79.5141,8.9171,5.842,0.5571,0.7482,0.6785
2,3,84.8745,9.2127,6.0479,0.5272,0.7281,0.648
2,4,82.6639,9.092,5.8964,0.5395,0.7367,0.6724
