,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,83.365,9.1304,6.2695,0.4577,0.6778,0.5822
0,1,85.7549,9.2604,6.2869,0.4421,0.6669,0.5858
0,2,76.3832,8.7397,5.9702,0.5031,0.7117,0.622
0,3,82.5181,9.0839,6.1409,0.4632,0.6844,0.589
0,4,79.8169,8.934,6.0744,0.4807,0.6951,0.6157
1,0,73.7538,8.588,5.8149,0.5202,0.7226,0.6397
1,1,79.861,8.9365,6.1457,0.4804,0.694,0.605
1,2,72.6404,8.5229,5.7516,0.5274,0.727,0.6474
1,3,71.369,8.448,5.7546,0.5357,0.7323,0.645
1,4,74.6535,8.6402,5.9036,0.5143,0.7176,0.6295
2,0,73.6729,8.5833,5.8171,0.5207,0.7236,0.6522
2,1,74.2968,8.6196,5.7767,0.5166,0.72,0.6512
2,2,75.8584,8.7097,5.9585,0.5065,0.7129,0.6257
2,3,75.6684,8.6988,5.8469,0.5077,0.7148,0.6317
2,4,78.8265,8.8784,6.1261,0.4872,0.6996,0.5956
