,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,73.3069,8.5619,5.9049,0.5292,0.7311,0.6316
0,1,74.6705,8.6412,5.9002,0.5205,0.7234,0.6277
0,2,72.8191,8.5334,5.8392,0.5324,0.7298,0.6289
0,3,72.5708,8.5188,5.7866,0.534,0.7321,0.6411
0,4,71.6959,8.4673,5.715,0.5396,0.7358,0.6512
1,0,73.4912,8.5727,5.9962,0.528,0.7271,0.6223
1,1,78.707,8.8717,6.1534,0.4946,0.7045,0.6106
1,2,69.6355,8.3448,5.8166,0.5528,0.7446,0.6542
1,3,70.6015,8.4025,5.8372,0.5466,0.7396,0.6177
1,4,72.8569,8.5356,5.908,0.5321,0.7313,0.6486
2,0,72.4078,8.5093,5.8013,0.535,0.7318,0.6407
2,1,78.8346,8.8789,6.1031,0.4937,0.7036,0.6109
2,2,72.4174,8.5098,5.8663,0.5349,0.7324,0.6416
2,3,73.881,8.5954,5.8248,0.5255,0.7262,0.6303
2,4,73.4082,8.5679,5.8627,0.5286,0.7274,0.6548
