,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,109.6899,10.4733,8.0794,0.4665,0.6855,0.6353
0,1,112.4993,10.6066,8.1598,0.4529,0.6738,0.6245
0,2,106.7833,10.3336,7.958,0.4807,0.6957,0.6483
0,3,110.268,10.5009,8.0576,0.4637,0.683,0.6357
0,4,111.5361,10.5611,8.1535,0.4575,0.6777,0.6283
1,0,106.5314,10.3214,7.9402,0.4819,0.6963,0.6491
1,1,116.1344,10.7766,8.2835,0.4352,0.6598,0.6062
1,2,111.6833,10.568,8.1349,0.4568,0.6766,0.6232
1,3,106.6446,10.3269,7.9804,0.4813,0.694,0.6426
1,4,107.3333,10.3602,7.9918,0.478,0.6917,0.6392
2,0,107.6933,10.3775,7.9353,0.4762,0.6912,0.6463
2,1,107.1448,10.3511,7.9636,0.4789,0.6945,0.6457
2,2,104.602,10.2275,7.8911,0.4913,0.7037,0.6587
2,3,110.0147,10.4888,8.0095,0.4649,0.6845,0.6429
2,4,108.428,10.4129,7.9993,0.4727,0.6882,0.643
