,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,116.231,10.781,7.1645,0.5546,0.7462,0.6978
0,1,113.2797,10.6433,7.259,0.5659,0.7547,0.6767
0,2,121.3467,11.0157,7.568,0.535,0.7323,0.6359
0,3,111.9171,10.5791,7.0194,0.5711,0.7565,0.6867
0,4,109.2918,10.4543,7.059,0.5812,0.7649,0.6952
1,0,101.1716,10.0584,6.8934,0.6123,0.7827,0.6736
1,1,101.8015,10.0897,6.7475,0.6099,0.7842,0.7218
1,2,119.8741,10.9487,7.6005,0.5406,0.7356,0.6511
1,3,112.9429,10.6275,7.4431,0.5672,0.754,0.665
1,4,119.6286,10.9375,7.4509,0.5415,0.7429,0.6731
2,0,114.9724,10.7225,7.3229,0.5594,0.7479,0.6601
2,1,96.4015,9.8184,6.5971,0.6306,0.7944,0.7155
2,2,118.8884,10.9036,7.3157,0.5444,0.7465,0.6821
2,3,102.4908,10.1238,6.7858,0.6072,0.7793,0.717
2,4,108.0911,10.3967,6.9858,0.5858,0.7679,0.7031
